gvkey,entity_pname,has_funda_data,conm,sic,naics,spcindcd,spcseccd,fic
006336,Kansas City Southern Railway Co.,True,KANSAS CITY SO RAILWAY CO,4011,482111,610,600,USA
006628,Lear Corp.,True,LEAR SIEGLER INC,3812,334511,220,925,USA
006720,Life Insurance Co. of Georgia,True,LIFE INS CO OF GEORGIA,6311,524113,825,800,USA
006738,"Chase Lincoln First Bank, N.A., Rochester",True,LINCOLN FIRST BANKS,6020,,817,800,USA
006775,UFJ Bank Ltd.,False,,,,,,
006794,Londontown Corp.,True,LONDONTOWN CORP,2300,,465,976,USA
006861,MCA Inc.,True,MCA INC,7812,512110,245,978,USA
007082,Sweetheart Cup Co. Inc.,True,MARYLAND CUP CORP,2650,,210,970,USA
007162,McGraw-Edison Co.,True,MCGRAW-EDISON CO,3612,,220,925,USA
007178,SnyderGeneral Corp.,True,MCQUAY INC,3585,,345,925,USA
007363,NGPL PipeCo LLC,True,MIDCON CORP,4922,486210,710,700,USA
007363,MidCon LLC,True,MIDCON CORP,4922,486210,710,700,USA
007392,Bayer Corp.,True,MILES LABORATORIES INC,2834,325412,285,905,USA
007460,Missouri Power & Light Co.,True,MISSOURI POWER & LIGHT,4931,,705,700,USA
007474,Mobil Alaska Pipeline Co.,True,MOBIL ALASKA PIPELINE CO,4610,486990,395,935,USA
007476,ExxonMobil Oil Corp.,True,MOBIL OIL CORP,2911,324110,390,935,USA
007675,Nabisco Inc.,True,NABISCO INC,2000,115210,250,978,USA
007744,"National Industries Inc., KY",True,NATIONAL INDUSTRIES INC,5190,,175,976,USA
007749,"National Medical Care, Inc.",True,NATIONAL MEDICAL CARE,8090,999990,292,905,USA
007795,Natural Gas Pipeline Co. of America,True,NATURAL GAS PIPELINE-AMERICA,4923,486210,710,700,USA
007981,NorthernTel Ltd Partnership,True,NORTHERN TELEPHONE CO LTD,4813,561499,463,974,USA
007996,Northwestern Bell Telephone Co.,True,NORTHWESTERN BELL TELEPHONE,4813,513310,463,974,USA
008119,Old National Bancorp,False,OLD NATIONAL BANCORPORATION,6020,522110,,,USA
008124,Graphic Packaging International LLC,True,OLINKRAFT INC,2600,,400,970,USA
008124,Riverwood International Corp.,True,OLINKRAFT INC,2600,,400,970,USA
008198,Otis Worldwide Corp.,True,OTIS ELEVATOR CO,3530,,345,925,USA
008275,Pacific Northwest Bell Telephone Co.,True,PACIFIC NOWEST BELL TELEPHON,4813,513310,463,974,USA
008393,Paul Revere Life Insurance Co.,True,PAUL REVERE LIFE INS CO,6311,524,825,800,USA
008416,Pebble Beach Co.,True,PEBBLE BEACH CORP,1400,531120,202,970,USA
