gvkey,entity_pname,has_funda_data,conm,sic,naics,spcindcd,spcseccd,fic
019045,Mitsubishi Chemical Corp.,False,MITSUBISHI CHEMICAL GROUP,2800,325,167,970,JPN
019048,Mitsukoshi Ltd.,False,,,,,,
019097,NKK Corp.,False,,,,,,
019099,Nagoya Railroad Co. Ltd.,False,,,,,,
019112,Denso Corp.,False,DENSO CORP,3714,336320,130,976,JPN
019115,NSK Ltd.,False,NSK LTD,3714,336310,345,925,JPN
019141,Oji Paper Co. Ltd.,False,OJI HOLDINGS CORP,2621,322,400,970,JPN
019157,Omron Corp.,False,OMRON CORP,3600,335,220,925,JPN
019195,North Coast Life Insurance Co.,False,NORTH COAST LIFE INSURACE CO,6311,524113,,,USA
019271,Pioneer International Ltd.,False,,,,,,
019336,Peninsular & Oriental Steam Navigation Co. (The),False,,,,,,
019348,Invensys PLC,False,INVENSYS PLC,7373,541512,230,940,GBR
019348,Siebe PLC,False,INVENSYS PLC,7373,541512,230,940,GBR
019358,Howard Smith Ltd.,False,,,,,,
019380,CMB Wing Lung Bank Ltd.,False,,,,,,
019413,Sumitomo Electric Industries Ltd.,False,SUMITOMO ELECTRIC INDS LTD,3357,335929,360,970,JPN
019414,Sumitomo Metal Industries Ltd.,False,,,,,,
019421,Sun Hung Kai Properties Ltd.,False,SUN HUNG KAI PROPERTIES LTD,6500,531,305,976,HKG
019449,TI Group PLC,False,,,,,,
019457,Taiyo Yuden Co. Ltd.,False,,,,,,
019579,J Sainsbury PLC,False,SAINSBURY (J) PLC,5411,445110,440,978,GBR
019591,Sandvik AB,False,SANDVIK AB,3530,3331,358,925,SWE
019641,EMI Group PLC,False,,,,,,
019646,Tokyu Land Corp.,False,,,,,,
019656,Toto Ltd.,False,,,,,,
019934,Yamazaki Baking Co. Ltd.,False,YAMAZAKI BAKING CO LTD,2050,31181,250,978,JPN
020082,American Gilsonite Co.,False,AMERICAN GILSONITE CO,2990,324199,,,USA
020145,Furukawa Electric Co. Ltd.,False,,,,,,
020161,Taiheiyo Cement Corp.,False,,,,,,
021386,Ashikaga Bank Ltd.,False,,,,,,
021388,RTL Group S.A.,False,,,,,,
021391,Banque Internationale a Luxembourg,False,,,,,,
021401,NH Hotel Group S.A.,False,,,,,,
021408,Groupe Bruxelles Lambert S.A.,False,GROUPE BRUXELLES LAMBERT,6799,523999,850,800,BEL
021419,Koa Fire & Marine Insurance Co. Ltd.,False,,,,,,
021437,Darling Ingredients Inc.,True,DARLING DELAWARE CO,2013,311612,250,978,USA
021447,OP Corporate Bank PLC,False,,,,,,
021463,Swiss Life Holding AG,False,,,,,,
021467,Zurich Insurance Co. South Africa Ltd.,False,,,,,,
021472,AMP Diversified Property Trust,False,,,,,,
021480,United Friendly Insurance Ltd (Life Fund),False,,,,,,
021481,Vontobel Holding AG,False,,,,,,
022336,Credit Saison Co. Ltd.,False,,,,,,
022522,Hachijuni Bank Ltd.,False,HACHIJUNI BANK,6020,522110,810,800,JPN
022739,Sentinel Security Life Insurance Co.,False,SENTINEL SECURITY LIFE INSUR,6311,524113,,,USA
023087,Baloise Holding AG,False,BALOISE HOLDING AG,6311,524113,825,800,CHE
023163,HSBC Bank PLC,False,,,,,,
023207,Witan Investment Trust PLC,False,,,,,,
023274,La Concorde Cie. d'Assurances,False,,,,,,
023429,F.A.T.A. ASSICURAZIONI DANNI SpA,False,,,,,,
023438,Mitsubishi UFJ Morgan Stanley Securities Co. Ltd.,False,,,,,,
023438,Kokusai Securities Co. Ltd.,False,,,,,,
023470,"Trygg-Hansa Forsakrings AB, Publikt.",False,,,,,,
023586,CIR-Compagnie Industriali Riunite SpA,False,,,,,,
023595,UNIQA Insurance Group AG,False,,,,,,
023595,Vers. Der Osterreichischen Bundeslander,False,,,,,,
023711,Yamanashi Chuo Bank Ltd.,False,,,,,,
023867,Hokkaido Bank Ltd.,False,,,,,,
023896,Advance Bank Australia Ltd.,False,,,,,,
023900,Bank of Fukuoka Ltd.,False,,,,,,
023904,HSBC Continental Europe,False,,,,,,
023905,Fukuoka City Bank Ltd.,False,,,,,,
023915,Union des Assurances de Paris,False,,,,,,
024016,Chinese Estates Holdings Ltd.,False,,,,,,
024049,FS Energy and Power Fund,False,FS ENERGY AND POWER FUND,6797,523910,,,USA
024052,Allianz France,False,,,,,,
024052,Assurances Generales de France (AGF),False,,,,,,
024055,Keiyo Bank Ltd.,False,,,,,,
024057,Toho Bank Ltd.,False,,,,,,
024207,Higo Bank Ltd.,False,,,,,,
024512,Commonwealth Bank of Australia,False,COMMONWEALTH BANK AUSTRALIA,6020,522110,810,800,AUS
024562,Bayerische Landesbank,False,,,,,,
024563,Credit Agricole S.A.,False,CREDIT AGRICOLE SA,6020,522110,810,800,FRA
024564,Banca Popolare di Milano SCRL,False,,,,,,
024566,Chuo Mitsui Trust & Banking Co. Ltd.,False,,,,,,
024566,Mitsui Trust & Banking Co. Ltd.,False,,,,,,
024567,Credit Industriel et Commercial,False,,,,,,
024569,Hyakujushi Bank Ltd.,False,,,,,,
024570,Juroku Bank Ltd.,False,,,,,,
024571,Nanto Bank Ltd.,False,,,,,,
024573,Yamaguchi Bank Ltd.,False,,,,,,
024577,Portigon AG,False,,,,,,
024580,Shoko Chukin Bank,False,,,,,,
024582,Norinchukin Bank,False,,,,,,
024584,Banca Monte dei Paschi di Siena SpA,False,,,,,,
024585,Landeskreditbank Baden-Wuerttemberg - Foerderbank - (L-Bank),False,,,,,,
024585,L-BANK Landeskreditbank Baden-Wuerttemberg,False,,,,,,
024588,KfW,False,,,,,,
024591,Hamburg Commercial Bank AG,False,,,,,,
024591,Hamburgische Landesbank Girozentrale,False,,,,,,
024594,DekaBank Deutsche Girozentrale,False,,,,,,
024602,Natexis Banque,False,,,,,,
024603,SEB AG,False,,,,,,
024605,ASLK-CGER Bank,False,,,,,,
025251,NH Investment & Securities Co. Ltd.,False,,,,,,
025252,Hanil Bank,False,,,,,,
025253,SeoulBank,False,,,,,,
025253,Hana Bank,False,,,,,,
025253,Hana Bank (Old),False,,,,,,
025256,Mirae Asset Securities Co. Ltd.,False,,,,,,
025258,KEB Hana Bank,False,,,,,,
025259,iM Bank,False,,,,,,
025261,"Commercial Bank of Korea, Ltd.",False,,,,,,
025607,Krung Thai Bank Public Co. Ltd.,False,,,,,,
025609,Bangkok Bank Public Co. Ltd.,False,BANGKOK BANK PCL,6020,522110,810,800,THA
025610,Bank of Ayudhya Public Co. Ltd.,False,,,,,,
025842,Standard Chartered Bank Korea Ltd.,False,,,,,,
025885,Capitalia SpA,False,,,,,,
025888,OMX AB,False,,,,,,
027833,KASIKORNBANK PCL,False,KASIKORNBANK PCL,6020,522110,810,800,THA
028032,AachenMuenchener Lebensversicherung AG,False,,,,,,
028569,Credito Bergamasco,False,,,,,,
028839,NH Hotel Group S.A.,False,,,,,,
029379,Kagoshima Bank Ltd.,False,,,,,,
029532,C.A. La Electricidad De Caracas,False,,,,,,
030238,AG Australia Holdings Ltd.,False,,,,,,
030282,Manila Electric Company,False,,,,,,
030485,Landwirtschaftliche Rentenbank,False,,,,,,
030486,Ogaki Kyoritsu Bank Ltd.,False,,,,,,
030487,Shiga Bank Ltd.,False,,,,,,
030505,Halifax Group PLC,False,HBOS PLC,6036,522120,810,800,GBR
030505,HBOS PLC,False,HBOS PLC,6036,522120,810,800,GBR
030508,Kiyo Bank Ltd.,False,,,,,,
030509,San-in Godo Bank Ltd.,False,,,,,,
030511,Fundacion Bancaria Caja de Ahorros y Pensiones de Barcelona,False,,,,,,
030513,Dexia Crediop SpA,False,,,,,,
030515,Nationwide Building Society,False,,,,,,
030516,Alliance & Leicester PLC,False,,,,,,
030517,Woolwich PLC,False,,,,,,
030519,Credit Agricole Corporate and Investment Bank,False,,,,,,
030520,Caisse des Depots et Consignations,False,,,,,,
030521,Landesbank Hessen-Thueringen Girozentrale,False,,,,,,
030523,Oesterreichische Kontrollbank AG,False,,,,,,
030525,Credit du Nord S.A.,False,,,,,,
030543,Rolo Banca 1473 SpA,False,,,,,,
030553,Bank of Taiwan,False,,,,,,
030579,Bank Hapoalim B.M.,False,BANK HAPOALIM B M,6020,522110,810,800,ISR
030581,Banco do Brasil S.A.,False,BANCO DO BRASIL,6020,522110,810,800,BRA
030725,Polyus PJSC,False,POLYUS PJSC,1040,212221,,,RUS
030875,Caja de Ahorros y Monte de Piedad de Madrid,False,,,,,,
031071,Taisei Fire & Marine Insurance Co. Ltd.,False,,,,,,
031073,Oita Bank Ltd.,False,,,,,,
031076,Michinoku Bank Ltd.,False,,,,,,
031079,Bank of Ikeda Ltd.,False,,,,,,
031080,Bank of Iwate Ltd.,False,,,,,,
031084,Aomori Bank Ltd.,False,,,,,,
031087,North Pacific Bank Ltd.,False,,,,,,
031160,First Commercial Bank Ltd.,False,,,,,,
031160,First Financial Holding Co. Ltd.,False,,,,,,
031161,TMBThanachart Bank Public Co. Ltd.,False,,,,,,
031207,GCC S.A.B. de C.V.,False,,,,,,
031646,Banco de Credito del Peru,False,,,,,,
031647,Banco Espirito Santo S.A.,False,BANCO ESPIRITO SANTO SA,6020,522110,810,800,PRT
031649,Chang Hwa Commercial Bank Ltd.,False,,,,,,
031650,Depfa Deutsche Pfandbriefbank AG,False,,,,,,
031902,SCE Trust VI,False,SCE TRUST VI,6726,525990,,,USA
032252,La Quinta Holdings Inc.,False,,,,,,
032421,Auction.com LLC,False,,,,,,
032422,Traverse Midstream Partners LLC,False,,,,,,
032423,"Anvil International, LLC",False,,,,,,
032424,BCP Renaissance Parent LLC,False,,,,,,
032425,Badger Intermediate Holdings LLC,False,,,,,,
032426,Auction.com Holding Co. Inc.,False,,,,,,
032863,Sea Containers Ltd.,False,SEACO LTD,4011,482111,,,BMU
033150,ConvergeOne Holdings Inc.,False,CONVERGEONE HOLDINGS INC,7370,519130,,,USA
033484,Fusion Connect Inc.,False,FUSION CONNECT INC,4899,517919,,,USA
035359,"Cadence Bank, N.A.",False,,,,,,
035443,Hexion Holdings Corp.,False,HEXION HLDGS CORP,2820,3251,,,USA
036107,KLDiscovery Inc.,False,KLDISCOVERY INC,7370,54151,,,USA
039956,Cyxtera DC Holdings Inc.,False,APPGATE INC,7372,511210,,,USA
040599,Monitronics International Inc.,False,MONITRONICS INTL INC,7380,561621,,,USA
043315,Apollo Asset Management Inc.,False,APOLLO ASSET MANAGEMENT INC,6282,523940,,,USA
043362,Sandoz Group AG,False,SANDOZ GROUP AG,2834,325412,,,CHE
043615,SCE Trust VII,False,SCE TRUST VII,6726,525990,,,USA
045318,SCE Trust VIII,False,SCE TRUST VIII,6726,525990,,,USA
062410,Alpha Services and Holdings S.A.,False,,,,,,
062410,Alpha Bank A.E.,False,,,,,,
062806,Mosenergo PJSC,False,MOSENERGO PJSC,4991,22111,705,700,RUS
063387,Vilniaus Bankas,False,,,,,,
064297,Security Capital U.S. Realty,False,,,,,,
065025,Philippine National Bank,False,,,,,,
100001,Accor S.A.,False,ACCOR SA,7011,721110,310,976,FRA
100012,Mitsubishi Heavy Industries Ltd.,False,MITSUBISHI HEAVY INDUST LTD,3510,333,355,925,JPN
100022,BMW AG,False,BAYERISCHE MOTOREN WERKE AKT,3711,336111,120,976,DEU
100037,Linde GmbH,False,LINDE AG,2810,325120,355,925,DEU
100042,MAN SE,False,,,,,,
100045,Smiths Group PLC,False,SMITHS GROUP PLC,3812,334511,220,925,GBR
100048,Fanuc Ltd.,False,FANUC CORP,3559,333249,220,925,JPN
100050,Genting Bhd.,False,GENTING BHD,7990,713,310,976,MYS
100053,Coal & Allied Industries Ltd.,False,,,,,,
100054,HOCHTIEF AG,False,HOCHTIEF AG,1540,2362,240,925,DEU
100060,Travis Perkins PLC,False,,,,,,
100061,Evonik Degussa GmbH,False,,,,,,
100082,Comptoirs Modernes S.A.,False,,,,,,
100102,Bilfinger SE,False,,,,,,
100104,Seiyu Ltd.,False,,,,,,
100111,Pilkington PLC,False,,,,,,
100115,BTR Nylex Ltd.,False,,,,,,
100116,Legrand France,False,,,,,,
100131,Tesco PLC,False,TESCO PLC,5399,452311,440,978,GBR
100140,Nissin Food Products Co. Ltd.,False,,,,,,
100144,Nissho Iwai Corp.,False,,,,,,
100149,Next PLC,False,NEXT PLC,5651,448140,452,976,GBR
100153,Nippon Yusen KK,False,NIPPON YUSEN KABUSHIKI KAISH,4731,483111,612,600,JPN
100155,Nippon Steel Corp.,False,NIPPON STEEL CORP,3312,331110,460,970,JPN
100156,Matsushita Electric Works Ltd.,False,,,,,,
100158,Nippon Oil Co. Ltd.,False,,,,,,
100181,Vodafone Holding GmbH,False,,,,,,
100182,Sarawak Energy Bhd.,False,,,,,,
100192,Coca-Cola Amatil Ltd.,False,COCA-COLA AMATIL LTD,2086,312111,145,978,AUS
100194,Japan Energy Corp.,False,,,,,,
100194,Nippon Mining Holdings Inc.,False,,,,,,
100199,Big Food Group PLC (The),False,,,,,,
100208,Nippon Meat Packers Inc.,False,,,,,,
100221,Mycal Corp.,False,,,,,,
100226,Murata Manufacturing Co. Ltd.,False,MURATA MANUFACTURING CO LTD,3670,3344,235,940,JPN
100234,Amada Co. Ltd.,False,AMADA CO LTD,3540,3335,355,925,JPN
100235,ALPS Electric Co. Ltd.,False,ALPS ALPINE CO LTD,3670,3344,220,925,JPN
100247,All Nippon Airways Co. Ltd.,False,,,,,,
100251,AGL Energy Ltd.,False,AGL ENERGY,4932,221210,710,700,AUS
100253,Ajinomoto Co. Inc.,False,AJINOMOTO CO INC,2030,3114,250,978,JPN
100259,AGC Inc.,False,AGC INC,3211,327211,355,925,JPN
100272,Kokuyo Co. Ltd.,False,,,,,,
100276,Kobe Steel Ltd.,False,KOBE STEEL LTD,3310,331110,460,970,JPN
100288,Kawasaki Heavy Industries Ltd.,False,KAWASAKI HEAVY INDUSTR LTD,3790,336,355,925,JPN
100290,Ono Pharmaceutical Co. Ltd.,False,ONO PHARMACEUTICAL CO LTD,2834,325412,285,905,JPN
100298,BPB PLC,False,,,,,,
100302,Kansai Electric Power Co. Inc.,False,KANSAI ELECTRIC POWER CO,4911,2211,705,700,JPN
100306,Kaneka Corp.,False,,,,,,
100312,Rheinmetall AG,False,RHEINMETALL AG,3480,332994,355,925,DEU
100336,Daiichi Sankyo Co. Ltd.,False,DAIICHI SANKYO COMPANY LTD,2834,325412,285,905,JPN
100346,Carrefour S.A.,False,CARREFOUR SA,5399,452311,440,978,FRA
100351,Deutsche Erdoel AG,False,,,,,,
100360,Safeway PLC,False,,,,,,
100362,IHI Corp.,False,,,,,,
100365,Hokkaido Electric Power Co. Inc.,False,,,,,,
100369,Bridgestone Corp.,False,BRIDGESTONE CORP,3011,326211,130,976,JPN
100373,Heidelberg Materials AG,False,HEIDELBERG MATERIALS AG,3241,327310,202,970,DEU
100376,Signature Aviation PLC,False,SIGNATURE AVIATION PLC,4581,488190,620,600,GBR
100382,Daicel Chemical Industries Ltd.,False,,,,,,
100385,Denki Kagaku Kogyo KK,False,,,,,,
100393,Hitachi Metals Ltd.,False,,,,,,
100408,Ebara Corp.,False,,,,,,
100412,Fujisawa Pharmaceutical Co. Ltd.,False,,,,,,
100431,Hapag-Lloyd AG,False,HAPAG-LLOYD AG,4412,483111,620,600,DEU
100433,HOYA Corp.,False,HOYA CORP,3851,339115,230,940,JPN
100435,Itochu Corp.,False,ITOCHU CORP,5000,42,355,925,JPN
100439,Chugoku Electric Power Co. Inc.,False,CHUGOKU ELECTRIC POWER CO,4911,2211,705,700,JPN
100441,Chugai Pharmaceutical Co. Ltd.,False,CHUGAI PHARMACEUTICAL CO LTD,2834,325412,285,905,JPN
100442,Orica Ltd.,False,ORICA LTD,2890,325920,167,970,AUS
100444,Nippon Paper Group Inc.,False,,,,,,
100444,Nippon Paper Industries Co. Ltd.,False,,,,,,
100449,KUKA AG,False,,,,,,
100450,Chubu Electric Power Co. Inc.,False,,,,,,
100454,Australian National Industries Ltd.,False,,,,,,
100461,Brambles Ltd.,False,BRAMBLES LTD,7359,532490,175,976,AUS
100471,Email Ltd.,False,,,,,,
100472,SABMiller PLC,False,SABMILLER PLC,2082,312120,140,978,GBR
100476,Incitec Ltd.,False,,,,,,
100486,Nikon Corp.,False,NIKON CORP,3827,333314,235,940,JPN
100488,Kyushu Electric Power Co. Inc.,False,,,,,,
100490,Konica Minolta Holdings Inc.,False,KONICA MINOLTA INC,3861,333310,403,940,JPN
100490,Konica Corp.,False,KONICA MINOLTA INC,3861,333310,403,940,JPN
100516,Kyowa Hakko Kogyo Co. Ltd.,False,,,,,,
100519,Brother Industries Ltd.,False,BROTHER INDUSTRIES LTD,3570,3341,190,940,JPN
100522,Mitsui Fudosan Co. Ltd.,False,,,,,,
100526,Isetan Co. Ltd.,False,,,,,,
100545,Marubeni Corp.,False,MARUBENI CORP,5000,421,475,976,JPN
100547,Marui Group Co. Ltd.,False,MARUI GROUP CO LTD,6141,522291,430,976,JPN
100548,Mazda Motor Corp.,False,MAZDA MOTOR CORP,3711,336111,120,976,JPN
100551,Minolta Co. Ltd.,False,,,,,,
100552,Misawa Homes Co. Ltd.,False,,,,,,
100555,Mitsubishi Corp.,False,MITSUBISHI CORP,5099,423990,475,976,JPN
100562,Swire Pacific Ltd.,False,SWIRE PACIFIC LTD,9997,999977,605,600,HKG
100563,Mitsubishi Gas Chemical Co. Inc.,False,,,,,,
100565,Mitsubishi Materials Corp.,False,,,,,,
100566,Mitsubishi Oil Co. Ltd.,False,,,,,,
100569,Mitsubishi Logistics Corp.,False,,,,,,
100574,Mitsui O.S.K. Lines Ltd.,False,MITSUI OSK LINES LTD,4412,483111,612,600,JPN
100583,Maeda Corp.,False,,,,,,
100625,Uny Co. Ltd.,False,,,,,,
100639,Sapporo Holdings Ltd.,False,,,,,,
100640,Sekisui Chemical Co. Ltd.,False,,,,,,
100641,Stanley Electric Co. Ltd.,False,,,,,,
100650,Weir Group PLC (The),False,WEIR GROUP PLC,3561,333914,345,925,GBR
100658,Tokyo Electron Ltd.,False,TOKYO ELECTRON LTD,3559,333242,247,940,JPN
100660,Tokyu Corp.,False,,,,,,
100661,Tokyu Department Store Co. Ltd.,False,,,,,,
100665,CLP Holdings Ltd.,False,CLP HOLDINGS LTD,4991,2211,705,700,HKG
100670,Yamato Holdings Co. Ltd.,False,,,,,,
100671,Yokogawa Electric Corp.,False,,,,,,
100672,Mitsubishi Pharma Corp.,False,,,,,,
100676,TUI AG,False,TUI AG,4700,561510,620,600,DEU
100683,Nitto Denko Corp.,False,NITTO DENKO CORP,3080,325520,220,925,JPN
100686,Olympus Corp.,False,OLYMPUS CORP,3845,334510,230,940,JPN
100688,Tokyo Electric Power Co. Holdings Inc.,False,TOKYO ELECTRIC POWER CO HOLD,4911,2211,705,700,JPN
100688,Tokyo Electric Power Co. Inc.,False,TOKYO ELECTRIC POWER CO HOLD,4911,2211,705,700,JPN
100689,Sumitomo Chemical Co. Ltd.,False,SUMITOMO CHEMICAL CO LTD,2800,325,160,970,JPN
100690,Tohoku Electric Power Co. Inc.,False,,,,,,
100691,Nippon Express Co. Ltd.,False,,,,,,
100692,Nippon Sheet Glass Co. Ltd.,False,,,,,,
100694,Sumitomo Heavy Industries Ltd.,False,SUMITOMO HEAVY INDUSTRIES,3530,333,345,925,JPN
100696,Showa Denko KK,False,RESONAC HOLDINGS CORPORATION,2800,325,160,970,JPN
100697,Shin-Etsu Chemical Co. Ltd.,False,SHIN-ETSU CHEMICAL CO LTD,2860,3251,167,970,JPN
100702,Ushio Inc.,False,,,,,,
100721,Oki Electric Industry Co. Ltd.,False,,,,,,
100724,Toray Industries Inc.,False,TORAY INDUSTRIES INC,2820,3252,468,976,JPN
100729,Toppan Printing Co. Ltd.,False,TOPPAN HOLDINGS INC,2750,32311,458,978,JPN
100736,K+S AG,False,K&S AG,2870,32531,202,970,DEU
100744,Holmen AB,False,,,,,,
100746,Ceconomy AG,False,CECONOMY AG,5399,452311,430,976,DEU
100746,Metro AG (old before demerger),False,CECONOMY AG,5399,452311,430,976,DEU
100749,Douglas Holding AG,False,,,,,,
100764,Suedzucker AG,False,,,,,,
100798,Clondalkin Industries Ltd.,False,,,,,,
100799,Mitsubishi Chemical Corp.,False,,,,,,
100799,Mitsubishi Rayon Co. Ltd.,False,,,,,,
100801,Kerry Group PLC,False,KERRY GROUP PLC,2090,3119,250,978,IRL
100810,Eridania Beghin-Say,False,,,,,,
100834,Ciba-Geigy Ltd.,False,,,,,,
100838,Xstrata Queensland Ltd.,False,MIM HOLDINGS LTD,1000,212,360,970,AUS
100846,Osaka Gas Co. Ltd.,False,,,,,,
100848,Tokyo Gas Co. Ltd.,False,TOKYO GAS CO LTD,4923,221210,710,700,JPN
100859,Southcorp Ltd.,False,,,,,,
100894,Woolworths Group Ltd.,False,,,,,,
100906,NGK Insulators Ltd.,False,,,,,,
100912,Stora Kopparbergs Bergslags AB,False,,,,,,
100918,Lend Lease Group,False,LENDLEASE GROUP,6500,531,305,976,AUS
100919,Obayashi Corp.,False,,,,,,
100926,Sekisui House Ltd.,False,SEKISUI HOUSE LTD,1520,236,240,925,JPN
100942,Reno De Medici SpA,False,,,,,,
100949,Taisei Corp.,False,TAISEI CORP,1540,2362,240,925,JPN
100954,Moeve,False,,,,,,
100957,Iberdrola S.A.,False,IBERDROLA SA,4911,2211,705,700,ESP
100982,Shimizu Corp.,False,,,,,,
100992,Kansai Paint Co. Ltd.,False,,,,,,
100993,Goodman Fielder Ltd.,False,,,,,,
101004,DS Smith PLC,False,,,,,,
101017,Metsa Board Corp.,False,,,,,,
101034,Kurita Water Industries Ltd.,False,,,,,,
101035,NGK Spark Plug Co. Ltd.,False,,,,,,
101040,JSR Corp.,False,JSR CORPORATION,2820,32521,167,970,JPN
101042,Kawasaki Kisen Kaisha Ltd.,False,,,,,,
101044,Nippon Sanso Corp.,False,,,,,,
101052,EMAP PLC,False,,,,,,
101052,Ascential Holdings Ltd.,False,,,,,,
101064,Brake Bros Ltd.,False,,,,,,
101068,Sumitomo Bakelite Co. Ltd.,False,,,,,,
101069,Teijin Ltd.,False,,,,,,
101070,Hankyu Hanshin Holdings Inc.,False,,,,,,
101074,Skylark Co. Ltd.,False,,,,,,
101083,Saipem SpA,False,SAIPEM S P A,1382,213112,620,600,ITA
101086,Snow Brand Milk Products Co. Ltd.,False,,,,,,
101097,Bouygues S.A.,False,BOUYGUES SA,1600,237,463,974,FRA
101103,Kowloon Motor Bus Co. (1933) Ltd. (The),False,,,,,,
101110,Lion Corp.,False,,,,,,
101127,Mitsui Chemicals Inc.,False,,,,,,
101138,Daikin Industries Ltd.,False,DAIKIN INDUSTRIES LTD,3585,333415,345,925,JPN
101143,Italcementi SpA,False,ITALCEMENTI SPA,3270,3273,202,970,ITA
101154,Zeon Corp.,False,,,,,,
101155,Suzuki Motor Corp.,False,SUZUKI MOTOR CO LTD,3711,336111,120,976,JPN
101160,Sumitomo Osaka Cement Co. Ltd.,False,,,,,,
101161,GELSENWASSER AG,False,,,,,,
101163,FKI PLC,False,,,,,,
101173,Casino Guichard - Perrachon S.A.,False,,,,,,
101185,Takara Holdings Inc.,False,,,,,,
101187,Dragados SA,False,,,,,,
101209,Altadis S.A.,False,,,,,,
101214,Sumitomo Warehouse Co. Ltd.,False,,,,,,
101222,Ciments Francais S.A.,False,,,,,,
101239,Lion Nathan Pty Ltd.,False,,,,,,
101240,BAA Ltd.,False,,,,,,
101247,Kuraray Co. Ltd.,False,KURARAY CO LTD,2800,325,167,970,JPN
101248,EssilorLuxottica,False,ESSILORLUXOTTICA SOCIETE,3851,339115,300,905,FRA
101277,Compagnie Generale des Etablissements Michelin S.C.A.,False,COMPAGNIE GENERALE DES,3011,326211,130,976,FRA
101301,Scottish & Newcastle PLC,False,,,,,,
101302,Synthomer PLC,False,,,,,,
101304,Holcim Ltd,False,HOLCIM LTD,3241,327310,202,970,CHE
101305,Safran SA,False,SAFRAN SA,3724,336412,180,940,FRA
101315,Arnotts Ltd.,False,,,,,,
101320,Spie S.A.,False,,,,,,
101328,Alusuisse Group Ltd.,False,,,,,,
101330,Union Fenosa S.A.,False,,,,,,
101336,Schneider Electric S.E.,False,SCHNEIDER ELECTRIC S E,3612,335311,705,700,FRA
101350,Sika AG,False,SIKA AG,2891,325520,167,970,CHE
101359,Tobu Railway Co. Ltd.,False,,,,,,
101364,Cementir Holding N.V.,False,,,,,,
101377,Seino Transportation Co. Ltd.,False,,,,,,
101394,Solvay S.A.,False,SOLVAY SA,2800,325,167,970,BEL
101396,Pernod Ricard S.A.,False,PERNOD RICARD SA,2084,312130,145,978,FRA
101406,Bull (Groupe),False,,,,,,
101407,DIC Corp.,False,,,,,,
101420,Capral Aluminium Ltd.,False,,,,,,
101448,Mitsui Engineering & Shipbuilding Co. Ltd.,False,,,,,,
101467,Vallourec,False,VALLOUREC SA,3533,333132,460,970,FRA
101472,Carter Holt Harvey Ltd.,False,,,,,,
101513,St Barbara Ltd.,False,ST BARBARA LTD,1040,212221,265,970,AUS
101538,Coloplast A/S,False,COLOPLAST A/S,3842,339113,300,905,DNK
101556,Norske Skogindustrier ASA,False,NORSKE SKOGINDUSTRIER A/S,2821,322122,400,970,NOR
101563,L E Lundbergforetagen AB,False,,,,,,
101569,Interplex Holdings Pte. Ltd.,False,,,,,,
101601,Wesfarmers Ltd.,False,WESFARMERS LTD,5399,455219,450,976,AUS
101602,Daiichi Pharmaceutical Co. Ltd.,False,,,,,,
101603,CIMIC Group Ltd.,False,,,,,,
101605,Reece Ltd.,False,,,,,,
101612,Gruppo Editoriale L'Espresso SpA,False,,,,,,
101613,Nufarm Ltd.,False,,,,,,
101634,Dyckerhoff AG,False,,,,,,
101651,Hirose Electric Co. Ltd.,False,,,,,,
101652,Tosoh Corp.,False,,,,,,
101714,Huhtamaki Oyj,False,,,,,,
101732,FNAC Darty SA,False,,,,,,
101746,Nichimen Corp.,False,,,,,,
101748,Kanematsu Corp.,False,,,,,,
101750,Ube Industries Ltd.,False,,,,,,
101754,Nippon Electric Glass Co. Ltd.,False,,,,,,
101757,Nishimatsu Construction Co. Ltd.,False,,,,,,
101759,Toyota Industries Corp.,False,TOYOTA INDUSTRIES CORP,3530,333923,120,976,JPN
101766,Hitachi Zosen Corp.,False,,,,,,
101769,Shikoku Electric Power Co. Inc.,False,,,,,,
101778,Showa Shell Sekiyu KK,False,,,,,,
101779,Tokyo Broadcasting System Inc.,False,,,,,,
101780,JGC Corp.,False,JGC HOLDINGS CORP,8711,541330,240,925,JPN
101784,Hutchison Whampoa Ltd.,False,HUTCHISON WHAMPOA LTD,9997,999977,355,925,HKG
101788,Nisshin Seifun Group Inc.,False,,,,,,
101811,Compagnie de Saint-Gobain,False,COMPAGNIE DE SAINT GOBAIN,5200,444,205,925,FRA
101830,Teikoku Oil Co. Ltd.,False,,,,,,
101846,Sumitomo Corp.,False,SUMITOMO CORP,5090,4239,475,976,JPN
101851,Fuji Electric Holdings Co. Ltd.,False,FUJI ELECTRIC CO LTD,3620,3353,220,925,JPN
101866,Meiji Dairies Corp.,False,,,,,,
101877,Sime Darby Bhd.,False,,,,,,
101892,Nippon Paint Co. Ltd.,False,,,,,,
101902,Yakult Honsha Co. Ltd.,False,,,,,,
101915,Izumiya Co. Ltd.,False,,,,,,
101932,Kikkoman Corp.,False,KIKKOMAN CORP,2030,311941,250,978,JPN
101937,Gildemeister AG,False,,,,,,
101939,Toda Corp.,False,,,,,,
101940,Toyota Tsusho Corp.,False,,,,,,
101941,Keisei Electric Railway Co. Ltd.,False,,,,,,
101942,Henkel AG & Co. KGaA,False,HENKEL AG & CO KGAA,2840,3256,320,978,DEU
101944,Capgemini SE,False,CAPGEMINI SE,7370,5415,185,940,FRA
101947,Hankyu Department Stores Inc.,False,,,,,,
101951,Mitsui Mining & Smelting Co. Ltd.,False,,,,,,
